Date,Week_ID,Month Number,Month_ID,Year,Day_Name,Revenue
09/11/2020,34,11,11,2020,Monday,465
10/11/2020,34,11,11,2020,Tuesday,10386
11/11/2020,34,11,11,2020,Wednesday,12475
12/11/2020,34,11,11,2020,Thursday,11712
13/11/2020,34,11,11,2020,Friday,10000
14/11/2020,34,11,11,2020,Saturday,12996
15/11/2020,35,11,11,2020,Sunday,11929
16/11/2020,35,11,11,2020,Monday,5359
17/11/2020,35,11,11,2020,Tuesday,12016
18/11/2020,35,11,11,2020,Wednesday,7441
19/11/2020,35,11,11,2020,Thursday,8000
20/11/2020,35,11,11,2020,Friday,15188
21/11/2020,35,11,11,2020,Saturday,3926
22/11/2020,36,11,11,2020,Sunday,14012
23/11/2020,36,11,11,2020,Monday,
24/11/2020,36,11,11,2020,Tuesday,18650
25/11/2020,36,11,11,2020,Wednesday,5574
26/11/2020,36,11,11,2020,Thursday,12425
27/11/2020,36,11,11,2020,Friday,14760
28/11/2020,36,11,11,2020,Saturday,8091
29/11/2020,37,11,11,2020,Sunday,10647
30/11/2020,37,11,11,2020,Monday,7290
01/12/2020,37,12,12,2020,Tuesday,4587
02/12/2020,37,12,12,2020,Wednesday,12154
03/12/2020,37,12,12,2020,Thursday,8400
04/12/2020,37,12,12,2020,Friday,20607
05/12/2020,37,12,12,2020,Saturday,3525
06/12/2020,38,12,12,2020,Sunday,10075
07/12/2020,38,12,12,2020,Monday,
08/12/2020,38,12,12,2020,Tuesday,6908
09/12/2020,38,12,12,2020,Wednesday,12740
10/12/2020,38,12,12,2020,Thursday,15288
11/12/2020,38,12,12,2020,Friday,6654
12/12/2020,38,12,12,2020,Saturday,9097
13/12/2020,39,12,12,2020,Sunday,8802
14/12/2020,39,12,12,2020,Monday,11679
15/12/2020,39,12,12,2020,Tuesday,11952
16/12/2020,39,12,12,2020,Wednesday,4873
17/12/2020,39,12,12,2020,Thursday,8516
18/12/2020,39,12,12,2020,Friday,18161
19/12/2020,39,12,12,2020,Saturday,8800
20/12/2020,40,12,12,2020,Sunday,7655
21/12/2020,40,12,12,2020,Monday,12038
22/12/2020,40,12,12,2020,Tuesday,10245
23/12/2020,40,12,12,2020,Wednesday,11817
24/12/2020,40,12,12,2020,Thursday,15991
25/12/2020,40,12,12,2020,Friday,21031
26/12/2020,40,12,12,2020,Saturday,36283
27/12/2020,41,12,12,2020,Sunday,23014
28/12/2020,41,12,12,2020,Monday,5100
29/12/2020,41,12,12,2020,Tuesday,7793
30/12/2020,41,12,12,2020,Wednesday,9180
31/12/2020,41,12,12,2020,Thursday,9125
01/01/2021,42,1,13,2021,Friday,21428
02/01/2021,42,1,13,2021,Saturday,9062
03/01/2021,43,1,13,2021,Sunday,9952
04/01/2021,43,1,13,2021,Monday,4714
05/01/2021,43,1,13,2021,Tuesday,9418
06/01/2021,43,1,13,2021,Wednesday,16325
07/01/2021,43,1,13,2021,Thursday,6254
08/01/2021,43,1,13,2021,Friday,7215
09/01/2021,43,1,13,2021,Saturday,11249
10/01/2021,44,1,13,2021,Sunday,12129
11/01/2021,44,1,13,2021,Monday,4581
12/01/2021,44,1,13,2021,Tuesday,8702
13/01/2021,44,1,13,2021,Wednesday,5937
14/01/2021,44,1,13,2021,Thursday,14568
15/01/2021,44,1,13,2021,Friday,21245
16/01/2021,44,1,13,2021,Saturday,11699
17/01/2021,45,1,13,2021,Sunday,9602
18/01/2021,45,1,13,2021,Monday,8633
19/01/2021,45,1,13,2021,Tuesday,7287
20/01/2021,45,1,13,2021,Wednesday,4403
21/01/2021,45,1,13,2021,Thursday,3021
22/01/2021,45,1,13,2021,Friday,24417
23/01/2021,45,1,13,2021,Saturday,6837
24/01/2021,46,1,13,2021,Sunday,12445
25/01/2021,46,1,13,2021,Monday,10925
26/01/2021,46,1,13,2021,Tuesday,292
27/01/2021,46,1,13,2021,Wednesday,4085
28/01/2021,46,1,13,2021,Thursday,11156
29/01/2021,46,1,13,2021,Friday,10485
30/01/2021,46,1,13,2021,Saturday,4225
31/01/2021,47,1,13,2021,Sunday,4953
01/02/2021,47,2,14,2021,Monday,10479
02/02/2021,47,2,14,2021,Tuesday,12783
03/02/2021,47,2,14,2021,Wednesday,18678
04/02/2021,47,2,14,2021,Thursday,13281
05/02/2021,47,2,14,2021,Friday,14356
06/02/2021,47,2,14,2021,Saturday,9095
07/02/2021,48,2,14,2021,Sunday,7264
08/02/2021,48,2,14,2021,Monday,5263
09/02/2021,48,2,14,2021,Tuesday,20860
10/02/2021,48,2,14,2021,Wednesday,13602
11/02/2021,48,2,14,2021,Thursday,5519
12/02/2021,48,2,14,2021,Friday,8741
13/02/2021,48,2,14,2021,Saturday,2184
14/02/2021,49,2,14,2021,Sunday,5772
15/02/2021,49,2,14,2021,Monday,9987
16/02/2021,49,2,14,2021,Tuesday,5966
17/02/2021,49,2,14,2021,Wednesday,4910
18/02/2021,49,2,14,2021,Thursday,24247
19/02/2021,49,2,14,2021,Friday,3025
20/02/2021,49,2,14,2021,Saturday,2409
21/02/2021,50,2,14,2021,Sunday,5171
22/02/2021,50,2,14,2021,Monday,
23/02/2021,50,2,14,2021,Tuesday,9135
24/02/2021,50,2,14,2021,Wednesday,13719
25/02/2021,50,2,14,2021,Thursday,20237
26/02/2021,50,2,14,2021,Friday,26608
27/02/2021,50,2,14,2021,Saturday,12789
28/02/2021,51,2,14,2021,Sunday,7222
01/03/2021,51,3,15,2021,Monday,13212
02/03/2021,51,3,15,2021,Tuesday,4376
03/03/2021,51,3,15,2021,Wednesday,8223
04/03/2021,51,3,15,2021,Thursday,16727
05/03/2021,51,3,15,2021,Friday,15474
06/03/2021,51,3,15,2021,Saturday,12850
07/03/2021,52,3,15,2021,Sunday,3470
08/03/2021,52,3,15,2021,Monday,3589
09/03/2021,52,3,15,2021,Tuesday,5187
10/03/2021,52,3,15,2021,Wednesday,13201
11/03/2021,52,3,15,2021,Thursday,25704
12/03/2021,52,3,15,2021,Friday,6523
13/03/2021,52,3,15,2021,Saturday,28196
14/03/2021,53,3,15,2021,Sunday,7878
15/03/2021,53,3,15,2021,Monday,3378
16/03/2021,53,3,15,2021,Tuesday,6047
17/03/2021,53,3,15,2021,Wednesday,1245
18/03/2021,,,,2021,,
19/03/2021,,,,2021,,
20/03/2021,,,,2021,,
21/03/2021,,,,2021,,
